Gender,Age,Interest/Hobby,Gift Recommendation
Male,10,Fashion,"Sports Shoes, Wallet, Watch, Sunglasses, Backpack"
Male,10,Sports,"Football, Sports Bottle, Sports Bag, Cap, Training Cones"
Male,10,Toys,"Action Figure, Puzzle, Building Blocks, Toy Car, Plush Toy"
Male,11,Art,"DIY Craft Kit, Paint Set, Canvas Pad, Brush Kit, Craft Box"
Male,11,Drawing,"Coloring Set, Sketch Book, Color Pencils, Marker Set, Art Apron"
Male,11,Fashion,"Trendy T-Shirts, Wallet, Watch, Sunglasses, Backpack"
Male,11,Music,"Kids Karaoke Mic, Headphones, Music Book, Tambourine, Bluetooth Speaker"
Male,11,Reading,"Comic Book, Bookmark Set, Novel, Book Light, Book Cover"
Male,11,Sports,"Skateboard, Sports Bottle, Sports Bag, Cap, Training Cones"
Male,11,Toys,"Board Game, Puzzle, Building Blocks, Toy Car, Plush Toy"
Male,12,Art,"Clay Modeling Set, Paint Set, Canvas Pad, Brush Kit, Craft Box"
Male,12,Drawing,"Crayons and Sketchpad, Sketch Book, Color Pencils, Marker Set, Art Apron"
Male,12,Fashion,"Jackets, Wallet, Watch, Sunglasses, Backpack"
Male,12,Music,"Toy Keyboard, Headphones, Music Book, Tambourine, Bluetooth Speaker"
Male,12,Reading,"Illustrated Encyclopedia, Bookmark Set, Novel, Book Light, Book Cover"
Male,12,Sports,"Bicycle, Sports Bottle, Sports Bag, Cap, Training Cones"
Male,12,Toys,"Remote Control Car, Puzzle, Building Blocks, Toy Car, Plush Toy"
Male,13,Fashion,"Stylish Backpack, Wallet, Watch, Sunglasses, Backpack"
Male,13,Gaming,"Gaming Mouse, Mouse Pad, Gaming Mug, LED Lamp, Gaming Poster"
Male,13,Music,"Wireless Earbuds, Headphones, Music Book, Tambourine, Bluetooth Speaker"
Male,13,Reading,"Fantasy Novel Series, Bookmark Set, Novel, Book Light, Book Cover"
Male,13,Sports,"Sports Jersey, Sports Bottle, Sports Bag, Cap, Training Cones"
Male,13,Technology,"Phone Camera Lens Kit, USB Drive, Phone Stand, Power Bank, Cable Organizer"
Male,14,Fashion,"Trendy Sneakers Voucher, Wallet, Watch, Sunglasses, Backpack"
Male,14,Gaming,"RGB Mechanical Keyboard, Mouse Pad, Gaming Mug, LED Lamp, Gaming Poster"
Male,14,Music,"Bluetooth Speaker, Headphones, Music Book, Tambourine, Microphone"
Male,14,Reading,"Manga Box Set, Bookmark Set, Novel, Book Light, Book Cover"
Male,14,Sports,"Basketball, Sports Bottle, Sports Bag, Cap, Training Cones"
Male,14,Technology,"Mini Drone, USB Drive, Phone Stand, Power Bank, Cable Organizer"
Male,15,Fashion,"Graphic Hoodie, Wallet, Watch, Sunglasses, Backpack"
Male,15,Gaming,"Console Controller, Mouse Pad, Gaming Mug, LED Lamp, Gaming Poster"
Male,15,Music,"Ukulele, Headphones, Music Book, Tambourine, Bluetooth Speaker"
Male,15,Reading,"Fantasy Novel Series, Bookmark Set, Novel, Book Light, Book Cover"
Male,15,Sports,"Premium Cricket Bat, Sports Bottle, Sports Bag, Cap, Training Cones"
Male,15,Technology,"Smart Watch, USB Drive, Phone Stand, Power Bank, Cable Organizer"
Male,16,Fashion,"Stylish Backpack, Wallet, Watch, Sunglasses, Backpack"
Male,16,Gaming,"Gaming Headset, Mouse Pad, Gaming Mug, LED Lamp, Gaming Poster"
Male,16,Music,"Wireless Earbuds, Headphones, Music Book, Tambourine, Bluetooth Speaker"
Male,16,Reading,"Manga Box Set, Bookmark Set, Novel, Book Light, Book Cover"
Male,16,Sports,"Sports Jersey, Sports Bottle, Sports Bag, Cap, Training Cones"
Male,16,Technology,"Phone Camera Lens Kit, USB Drive, Phone Stand, Power Bank, Cable Organizer"
Male,17,Fashion,"Trendy Sneakers Voucher, Wallet, Watch, Sunglasses, Backpack"
Male,17,Gaming,"Gaming Mouse, Mouse Pad, Gaming Mug, LED Lamp, Gaming Poster"
Male,17,Music,"Bluetooth Speaker, Headphones, Music Book, Tambourine, Microphone"
Male,17,Reading,"Fantasy Novel Series, Bookmark Set, Novel, Book Light, Book Cover"
Male,17,Sports,"Basketball, Sports Bottle, Sports Bag, Cap, Training Cones"
Male,17,Technology,"Mini Drone, USB Drive, Phone Stand, Power Bank, Cable Organizer"
Male,18,Fashion,"Graphic Hoodie, Wallet, Watch, Sunglasses, Backpack"
Male,18,Gaming,"RGB Mechanical Keyboard, Mouse Pad, Gaming Mug, LED Lamp, Gaming Poster"
Male,18,Music,"Ukulele, Headphones, Music Book, Tambourine, Bluetooth Speaker"
Male,18,Reading,"Manga Box Set, Bookmark Set, Novel, Book Light, Book Cover"
Male,18,Sports,"Premium Cricket Bat, Sports Bottle, Sports Bag, Cap, Training Cones"
Male,18,Technology,"Smart Watch, USB Drive, Phone Stand, Power Bank, Cable Organizer"
Male,19,Fashion,"Stylish Backpack, Wallet, Watch, Sunglasses, Backpack"
Male,19,Gaming,"Console Controller, Mouse Pad, Gaming Mug, LED Lamp, Gaming Poster"
Male,19,Music,"Wireless Earbuds, Headphones, Music Book, Tambourine, Bluetooth Speaker"
Male,19,Reading,"Fantasy Novel Series, Bookmark Set, Novel, Book Light, Book Cover"
Male,19,Sports,"Sports Jersey, Sports Bottle, Sports Bag, Cap, Training Cones"
Male,19,Technology,"Phone Camera Lens Kit, USB Drive, Phone Stand, Power Bank, Cable Organizer"
Male,20,Art,"Professional Sketch Set, Paint Set, Canvas Pad, Brush Kit, Craft Box"
Male,20,Cooking,"Air Fryer, Recipe Book, Apron, Spice Set, Kitchen Towels"
Male,20,Fashion,"Handbag, Wallet, Watch, Sunglasses, Backpack"
Male,20,Fitness,"Resistance Bands Set, Resistance Band, Gym Bottle, Yoga Mat, Towel"
Male,20,Gaming,"Gaming Monitor Upgrade, Mouse Pad, Gaming Mug, LED Lamp, Gaming Poster"
Male,20,Music,"Vinyl Record Player, Headphones, Music Book, Tambourine, Bluetooth Speaker"
Male,20,Photography,"Instant Film Camera, Photo Album, Tripod, Lens Cloth, Camera Strap"
Male,20,Sports,"Fitness Tracker, Sports Bottle, Sports Bag, Cap, Training Cones"
Male,20,Technology,"Portable SSD Storage, USB Drive, Phone Stand, Power Bank, Cable Organizer"
Male,20,Travel,"Passport Holder Set, Travel Pouch, Luggage Tag, Neck Pillow, Water Bottle"
Male,21,Art,"Digital Drawing Tablet, Paint Set, Canvas Pad, Brush Kit, Craft Box"
Male,21,Cooking,"Gourmet Spice Rack, Recipe Book, Apron, Spice Set, Kitchen Towels"
Male,21,Fashion,"Jewelry Set, Wallet, Watch, Sunglasses, Backpack"
Male,21,Fitness,"Deep Tissue Massage Gun, Resistance Band, Gym Bottle, Yoga Mat, Towel"
Male,21,Gaming,"Pro Gaming Mouse, Mouse Pad, Gaming Mug, LED Lamp, Gaming Poster"
Male,21,Music,"Portable Bluetooth Speaker, Headphones, Music Book, Tambourine, Bluetooth Speaker"
Male,21,Photography,"Smartphone Gimbal, Photo Album, Tripod, Lens Cloth, Camera Strap"
Male,21,Sports,"Premium Gym Bag, Sports Bottle, Sports Bag, Cap, Training Cones"
Male,21,Technology,"Smart Watch, USB Drive, Phone Stand, Power Bank, Cable Organizer"
Male,21,Travel,"Travel Backpack, Travel Pouch, Luggage Tag, Neck Pillow, Water Bottle"
Male,22,Art,"Professional Sketch Set, Paint Set, Canvas Pad, Brush Kit, Craft Box"
Male,22,Cooking,"Chef Knife Set, Recipe Book, Apron, Spice Set, Kitchen Towels"
Male,22,Fashion,"Designer Wallet, Wallet, Watch, Sunglasses, Backpack"
Male,22,Fitness,"Fitness Band, Resistance Band, Gym Bottle, Yoga Mat, Towel"
Male,22,Gaming,"Mechanical Keyboard, Mouse Pad, Gaming Mug, LED Lamp, Gaming Poster"
Male,22,Music,"Noise Canceling Headphones, Headphones, Music Book, Tambourine, Bluetooth Speaker"
Male,22,Photography,"Camera Tripod, Photo Album, Tripod, Lens Cloth, Camera Strap"
Male,22,Sports,"Running Shoes Voucher, Sports Bottle, Sports Bag, Cap, Training Cones"
Male,22,Technology,"Wireless Earbuds, USB Drive, Phone Stand, Power Bank, Cable Organizer"
Male,22,Travel,"Scratch-off World Map, Travel Pouch, Luggage Tag, Neck Pillow, Water Bottle"
Male,23,Art,"Digital Drawing Tablet, Paint Set, Canvas Pad, Brush Kit, Craft Box"
Male,23,Cooking,"Air Fryer, Recipe Book, Apron, Spice Set, Kitchen Towels"
Male,23,Fashion,"Luxury Sunglasses, Wallet, Watch, Sunglasses, Backpack"
Male,23,Fitness,"Resistance Bands Set, Resistance Band, Gym Bottle, Yoga Mat, Towel"
Male,23,Gaming,"Gaming Monitor Upgrade, Mouse Pad, Gaming Mug, LED Lamp, Gaming Poster"
Male,23,Music,"Vinyl Record Player, Headphones, Music Book, Tambourine, Bluetooth Speaker"
Male,23,Photography,"Instant Film Camera, Photo Album, Tripod, Lens Cloth, Camera Strap"
Male,23,Sports,"Fitness Tracker, Sports Bottle, Sports Bag, Cap, Training Cones"
Male,23,Technology,"Mechanical Keyboard, USB Drive, Phone Stand, Power Bank, Cable Organizer"
Male,23,Travel,"Passport Holder Set, Travel Pouch, Luggage Tag, Neck Pillow, Water Bottle"
Male,24,Art,"Professional Sketch Set, Paint Set, Canvas Pad, Brush Kit, Craft Box"
Male,24,Cooking,"Gourmet Spice Rack, Recipe Book, Apron, Spice Set, Kitchen Towels"
Male,24,Fashion,"Handbag, Wallet, Watch, Sunglasses, Backpack"
Male,24,Fitness,"Deep Tissue Massage Gun, Resistance Band, Gym Bottle, Yoga Mat, Towel"
Male,24,Gaming,"Pro Gaming Mouse, Mouse Pad, Gaming Mug, LED Lamp, Gaming Poster"
Male,24,Music,"Portable Bluetooth Speaker, Headphones, Music Book, Tambourine, Bluetooth Speaker"
Male,24,Photography,"Smartphone Gimbal, Photo Album, Tripod, Lens Cloth, Camera Strap"
Male,24,Sports,"Premium Gym Bag, Sports Bottle, Sports Bag, Cap, Training Cones"
Male,24,Technology,"Portable SSD Storage, USB Drive, Phone Stand, Power Bank, Cable Organizer"
Male,24,Travel,"Travel Backpack, Travel Pouch, Luggage Tag, Neck Pillow, Water Bottle"
Male,25,Art,"Digital Drawing Tablet, Paint Set, Canvas Pad, Brush Kit, Craft Box"
Male,25,Cooking,"Chef Knife Set, Recipe Book, Apron, Spice Set, Kitchen Towels"
Male,25,Fashion,"Jewelry Set, Wallet, Watch, Sunglasses, Backpack"
Male,25,Fitness,"Fitness Band, Resistance Band, Gym Bottle, Yoga Mat, Towel"
Male,25,Gaming,"Mechanical Keyboard, Mouse Pad, Gaming Mug, LED Lamp, Gaming Poster"
Male,25,Music,"Noise Canceling Headphones, Headphones, Music Book, Tambourine, Bluetooth Speaker"
Male,25,Photography,"Camera Tripod, Photo Album, Tripod, Lens Cloth, Camera Strap"
Male,25,Sports,"Running Shoes Voucher, Sports Bottle, Sports Bag, Cap, Training Cones"
Male,25,Technology,"Smart Watch, USB Drive, Phone Stand, Power Bank, Cable Organizer"
Male,25,Travel,"Scratch-off World Map, Travel Pouch, Luggage Tag, Neck Pillow, Water Bottle"
Male,26,Art,"Professional Sketch Set, Paint Set, Canvas Pad, Brush Kit, Craft Box"
Male,26,Cooking,"Air Fryer, Recipe Book, Apron, Spice Set, Kitchen Towels"
Male,26,Fashion,"Designer Wallet, Wallet, Watch, Sunglasses, Backpack"
Male,26,Fitness,"Resistance Bands Set, Resistance Band, Gym Bottle, Yoga Mat, Towel"
Male,26,Gaming,"Gaming Monitor Upgrade, Mouse Pad, Gaming Mug, LED Lamp, Gaming Poster"
Male,26,Music,"Vinyl Record Player, Headphones, Music Book, Tambourine, Bluetooth Speaker"
Male,26,Photography,"Instant Film Camera, Photo Album, Tripod, Lens Cloth, Camera Strap"
Male,26,Sports,"Fitness Tracker, Sports Bottle, Sports Bag, Cap, Training Cones"
Male,26,Technology,"Wireless Earbuds, USB Drive, Phone Stand, Power Bank, Cable Organizer"
Male,26,Travel,"Passport Holder Set, Travel Pouch, Luggage Tag, Neck Pillow, Water Bottle"
Male,27,Art,"Digital Drawing Tablet, Paint Set, Canvas Pad, Brush Kit, Craft Box"
Male,27,Cooking,"Gourmet Spice Rack, Recipe Book, Apron, Spice Set, Kitchen Towels"
Male,27,Fashion,"Luxury Sunglasses, Wallet, Watch, Sunglasses, Backpack"
Male,27,Fitness,"Deep Tissue Massage Gun, Resistance Band, Gym Bottle, Yoga Mat, Towel"
Male,27,Gaming,"Pro Gaming Mouse, Mouse Pad, Gaming Mug, LED Lamp, Gaming Poster"
Male,27,Music,"Portable Bluetooth Speaker, Headphones, Music Book, Tambourine, Bluetooth Speaker"
Male,27,Photography,"Smartphone Gimbal, Photo Album, Tripod, Lens Cloth, Camera Strap"
Male,27,Sports,"Premium Gym Bag, Sports Bottle, Sports Bag, Cap, Training Cones"
Male,27,Technology,"Mechanical Keyboard, USB Drive, Phone Stand, Power Bank, Cable Organizer"
Male,27,Travel,"Travel Backpack, Travel Pouch, Luggage Tag, Neck Pillow, Water Bottle"
Male,28,Art,"Professional Sketch Set, Paint Set, Canvas Pad, Brush Kit, Craft Box"
Male,28,Cooking,"Chef Knife Set, Recipe Book, Apron, Spice Set, Kitchen Towels"
Male,28,Fashion,"Handbag, Wallet, Watch, Sunglasses, Backpack"
Male,28,Fitness,"Fitness Band, Resistance Band, Gym Bottle, Yoga Mat, Towel"
Male,28,Gaming,"Mechanical Keyboard, Mouse Pad, Gaming Mug, LED Lamp, Gaming Poster"
Male,28,Music,"Noise Canceling Headphones, Headphones, Music Book, Tambourine, Bluetooth Speaker"
Male,28,Photography,"Camera Tripod, Photo Album, Tripod, Lens Cloth, Camera Strap"
Male,28,Sports,"Running Shoes Voucher, Sports Bottle, Sports Bag, Cap, Training Cones"
Male,28,Technology,"Portable SSD Storage, USB Drive, Phone Stand, Power Bank, Cable Organizer"
Male,28,Travel,"Scratch-off World Map, Travel Pouch, Luggage Tag, Neck Pillow, Water Bottle"
Male,29,Art,"Digital Drawing Tablet, Paint Set, Canvas Pad, Brush Kit, Craft Box"
Male,29,Cooking,"Air Fryer, Recipe Book, Apron, Spice Set, Kitchen Towels"
Male,29,Fashion,"Jewelry Set, Wallet, Watch, Sunglasses, Backpack"
Male,29,Fitness,"Resistance Bands Set, Resistance Band, Gym Bottle, Yoga Mat, Towel"
Male,29,Gaming,"Gaming Monitor Upgrade, Mouse Pad, Gaming Mug, LED Lamp, Gaming Poster"
Male,29,Music,"Vinyl Record Player, Headphones, Music Book, Tambourine, Bluetooth Speaker"
Male,29,Photography,"Instant Film Camera, Photo Album, Tripod, Lens Cloth, Camera Strap"
Male,29,Sports,"Fitness Tracker, Sports Bottle, Sports Bag, Cap, Training Cones"
Male,29,Technology,"Smart Watch, USB Drive, Phone Stand, Power Bank, Cable Organizer"
Male,29,Travel,"Passport Holder Set, Travel Pouch, Luggage Tag, Neck Pillow, Water Bottle"
Male,30,Art,"Professional Sketch Set, Paint Set, Canvas Pad, Brush Kit, Craft Box"
Male,30,Cooking,"Gourmet Spice Rack, Recipe Book, Apron, Spice Set, Kitchen Towels"
Male,30,Fashion,"Designer Wallet, Wallet, Watch, Sunglasses, Backpack"
Male,30,Fitness,"Deep Tissue Massage Gun, Resistance Band, Gym Bottle, Yoga Mat, Towel"
Male,30,Gaming,"Pro Gaming Mouse, Mouse Pad, Gaming Mug, LED Lamp, Gaming Poster"
Male,30,Music,"Portable Bluetooth Speaker, Headphones, Music Book, Tambourine, Bluetooth Speaker"
Male,30,Photography,"Smartphone Gimbal, Photo Album, Tripod, Lens Cloth, Camera Strap"
Male,30,Sports,"Premium Gym Bag, Sports Bottle, Sports Bag, Cap, Training Cones"
Male,30,Technology,"Wireless Earbuds, USB Drive, Phone Stand, Power Bank, Cable Organizer"
Male,30,Travel,"Travel Backpack, Travel Pouch, Luggage Tag, Neck Pillow, Water Bottle"
Male,31,Art,"Digital Drawing Tablet, Paint Set, Canvas Pad, Brush Kit, Craft Box"
Male,31,Cooking,"Chef Knife Set, Recipe Book, Apron, Spice Set, Kitchen Towels"
Male,31,Fashion,"Luxury Sunglasses, Wallet, Watch, Sunglasses, Backpack"
Male,31,Fitness,"Fitness Band, Resistance Band, Gym Bottle, Yoga Mat, Towel"
Male,31,Gaming,"Mechanical Keyboard, Mouse Pad, Gaming Mug, LED Lamp, Gaming Poster"
Male,31,Music,"Noise Canceling Headphones, Headphones, Music Book, Tambourine, Bluetooth Speaker"
Male,31,Photography,"Camera Tripod, Photo Album, Tripod, Lens Cloth, Camera Strap"
Male,31,Sports,"Running Shoes Voucher, Sports Bottle, Sports Bag, Cap, Training Cones"
Male,31,Technology,"Mechanical Keyboard, USB Drive, Phone Stand, Power Bank, Cable Organizer"
Male,31,Travel,"Scratch-off World Map, Travel Pouch, Luggage Tag, Neck Pillow, Water Bottle"
Male,32,Art,"Professional Sketch Set, Paint Set, Canvas Pad, Brush Kit, Craft Box"
Male,32,Cooking,"Air Fryer, Recipe Book, Apron, Spice Set, Kitchen Towels"
Male,32,Fashion,"Handbag, Wallet, Watch, Sunglasses, Backpack"
Male,32,Fitness,"Resistance Bands Set, Resistance Band, Gym Bottle, Yoga Mat, Towel"
Male,32,Gaming,"Gaming Monitor Upgrade, Mouse Pad, Gaming Mug, LED Lamp, Gaming Poster"
Male,32,Music,"Vinyl Record Player, Headphones, Music Book, Tambourine, Bluetooth Speaker"
Male,32,Photography,"Instant Film Camera, Photo Album, Tripod, Lens Cloth, Camera Strap"
Male,32,Sports,"Fitness Tracker, Sports Bottle, Sports Bag, Cap, Training Cones"
Male,32,Technology,"Portable SSD Storage, USB Drive, Phone Stand, Power Bank, Cable Organizer"
Male,32,Travel,"Passport Holder Set, Travel Pouch, Luggage Tag, Neck Pillow, Water Bottle"
Male,33,Art,"Digital Drawing Tablet, Paint Set, Canvas Pad, Brush Kit, Craft Box"
Male,33,Cooking,"Gourmet Spice Rack, Recipe Book, Apron, Spice Set, Kitchen Towels"
Male,33,Fashion,"Jewelry Set, Wallet, Watch, Sunglasses, Backpack"
Male,33,Fitness,"Deep Tissue Massage Gun, Resistance Band, Gym Bottle, Yoga Mat, Towel"
Male,33,Gaming,"Pro Gaming Mouse, Mouse Pad, Gaming Mug, LED Lamp, Gaming Poster"
Male,33,Music,"Portable Bluetooth Speaker, Headphones, Music Book, Tambourine, Bluetooth Speaker"
Male,33,Photography,"Smartphone Gimbal, Photo Album, Tripod, Lens Cloth, Camera Strap"
Male,33,Sports,"Premium Gym Bag, Sports Bottle, Sports Bag, Cap, Training Cones"
Male,33,Technology,"Smart Watch, USB Drive, Phone Stand, Power Bank, Cable Organizer"
Male,33,Travel,"Travel Backpack, Travel Pouch, Luggage Tag, Neck Pillow, Water Bottle"
Male,34,Art,"Professional Sketch Set, Paint Set, Canvas Pad, Brush Kit, Craft Box"
Male,34,Cooking,"Chef Knife Set, Recipe Book, Apron, Spice Set, Kitchen Towels"
Male,34,Fashion,"Designer Wallet, Wallet, Watch, Sunglasses, Backpack"
Male,34,Fitness,"Fitness Band, Resistance Band, Gym Bottle, Yoga Mat, Towel"
Male,34,Gaming,"Mechanical Keyboard, Mouse Pad, Gaming Mug, LED Lamp, Gaming Poster"
Male,34,Music,"Noise Canceling Headphones, Headphones, Music Book, Tambourine, Bluetooth Speaker"
Male,34,Photography,"Camera Tripod, Photo Album, Tripod, Lens Cloth, Camera Strap"
Male,34,Sports,"Running Shoes Voucher, Sports Bottle, Sports Bag, Cap, Training Cones"
Male,34,Technology,"Wireless Earbuds, USB Drive, Phone Stand, Power Bank, Cable Organizer"
Male,34,Travel,"Scratch-off World Map, Travel Pouch, Luggage Tag, Neck Pillow, Water Bottle"
Male,35,Art,"Digital Drawing Tablet, Paint Set, Canvas Pad, Brush Kit, Craft Box"
Male,35,Cooking,"Air Fryer, Recipe Book, Apron, Spice Set, Kitchen Towels"
Male,35,Fashion,"Luxury Sunglasses, Wallet, Watch, Sunglasses, Backpack"
Male,35,Fitness,"Resistance Bands Set, Resistance Band, Gym Bottle, Yoga Mat, Towel"
Male,35,Gaming,"Gaming Monitor Upgrade, Mouse Pad, Gaming Mug, LED Lamp, Gaming Poster"
Male,35,Music,"Vinyl Record Player, Headphones, Music Book, Tambourine, Bluetooth Speaker"
Male,35,Photography,"Instant Film Camera, Photo Album, Tripod, Lens Cloth, Camera Strap"
Male,35,Sports,"Fitness Tracker, Sports Bottle, Sports Bag, Cap, Training Cones"
Male,35,Technology,"Mechanical Keyboard, USB Drive, Phone Stand, Power Bank, Cable Organizer"
Male,35,Travel,"Passport Holder Set, Travel Pouch, Luggage Tag, Neck Pillow, Water Bottle"
Male,36,Cooking,"Cast Iron Skillet, Recipe Book, Apron, Spice Set, Kitchen Towels"
Male,36,Fashion,"Leather Briefcase, Wallet, Watch, Sunglasses, Backpack"
Male,36,Fitness,"Smart Fitness Band, Resistance Band, Gym Bottle, Yoga Mat, Towel"
Male,36,Gardening,"Smart Indoor Herb Garden, Plant Pot, Garden Gloves, Watering Can, Seed Kit"
Male,36,Photography,"Camera Tripod, Photo Album, Tripod, Lens Cloth, Camera Strap"
Male,36,Reading,"Book Collection, Bookmark Set, Novel, Book Light, Book Cover"
Male,36,Technology,"Wireless Charging Station, USB Drive, Phone Stand, Power Bank, Cable Organizer"
Male,36,Travel,"Noise Canceling Headphones, Travel Pouch, Luggage Tag, Neck Pillow, Water Bottle"
Male,37,Cooking,"Air Fryer, Recipe Book, Apron, Spice Set, Kitchen Towels"
Male,37,Fashion,"Premium Handbag, Wallet, Watch, Sunglasses, Backpack"
Male,37,Fitness,"Yoga Mat & Roller Set, Resistance Band, Gym Bottle, Yoga Mat, Towel"
Male,37,Gardening,"Ergonomic Gardening Tools, Plant Pot, Garden Gloves, Watering Can, Seed Kit"
Male,37,Photography,"Professional Camera Bag, Photo Album, Tripod, Lens Cloth, Camera Strap"
Male,37,Reading,"Kindle Paperwhite, Bookmark Set, Novel, Book Light, Book Cover"
Male,37,Technology,"Tablet Device, USB Drive, Phone Stand, Power Bank, Cable Organizer"
Male,37,Travel,"Travel Neck Pillow Kit, Travel Pouch, Luggage Tag, Neck Pillow, Water Bottle"
Male,38,Cooking,"Espresso Machine, Recipe Book, Apron, Spice Set, Kitchen Towels"
Male,38,Fashion,"Elegant Jewelry Set, Wallet, Watch, Sunglasses, Backpack"
Male,38,Fitness,"Adjustable Dumbbells, Resistance Band, Gym Bottle, Yoga Mat, Towel"
Male,38,Gardening,"Gardening Kit, Plant Pot, Garden Gloves, Watering Can, Seed Kit"
Male,38,Photography,"Lens Cleaning Kit, Photo Album, Tripod, Lens Cloth, Camera Strap"
Male,38,Reading,"Leather-bound Classic Book, Bookmark Set, Novel, Book Light, Book Cover"
Male,38,Technology,"Smart Home Assistant, USB Drive, Phone Stand, Power Bank, Cable Organizer"
Male,38,Travel,"Hardshell Travel Luggage, Travel Pouch, Luggage Tag, Neck Pillow, Water Bottle"
